"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"3265","KNSA","Kiniksa Pharmaceuticals, Ltd.","18.23","$902.2M","Health Care","Major Pharmaceuticals"
"3266","KNSL","Kinsale Capital Group, Inc.","66.66","$1.42B","Finance","Property-Casualty Insurers"
"3267","KIRK","Kirkland&#39;s, Inc.","10.15","$150.81M","Consumer Services","Other Specialty Stores"
"3268","KTOV","Kitov Pharma Ltd.","1.08","$20.99M","Health Care","Major Pharmaceuticals"
"3269","KLAC","KLA-Tencor Corporation","115.78","$18.95B","Capital Goods","Electronic Components"
"3270","KLXE","KLX Energy Services Holdings, Inc. ","26.15","$584.77M","Energy","Oilfield Services/Equipment"
"3271","KOD","Kodiak Sciences Inc","7.07","$260.39M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3272","KONA","Kona Grill, Inc.","0.97","$12.86M","Consumer Services","Restaurants"
"3273","KOPN","Kopin Corporation","1.48","$113.39M","Technology","Semiconductors"
"3274","KRNT","Kornit Digital Ltd.","22.31","$780.89M","Capital Goods","Industrial Machinery/Components"
"3275","KOSS","Koss Corporation","1.86","$13.77M","Consumer Non-Durables","Consumer Electronics/Appliances"
"3276","KTOS","Kratos Defense & Security Solutions, Inc.","16.71","$1.73B","Capital Goods","Military/Government/Technical"
"3277","KRYS","Krystal Biotech, Inc.","22.75","$328.26M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3278","KLIC","Kulicke and Soffa Industries, Inc.","23.44","$1.55B","Technology","Semiconductors"
"3279","KURA","Kura Oncology, Inc.","15.3","$581.97M","Health Care","Major Pharmaceuticals"
"3280","KVHI","KVH Industries, Inc.","11.22","$199.01M","Technology","Radio And Television Broadcasting And Communications Equipment"
"3281","FSTR","L.B. Foster Company","17.62","$186.12M","Basic Industries","Metal Fabrications"
"3282","LJPC","La Jolla Pharmaceutical Company","5.82","$152.68M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3283","LSBK","Lake Shore Bancorp, Inc.","15.95","$96.02M","Finance","Savings Institutions"
"3284","LBAI","Lakeland Bancorp, Inc.","16.64","$836.75M","Finance","Major Banks"
"3285","LKFN","Lakeland Financial Corporation","48.68","$1.22B","Finance","Major Banks"
"3286","LAKE","Lakeland Industries, Inc.","11.18","$90.78M","Health Care","Industrial Specialties"
"3287","LRCX","Lam Research Corporation","176.75","$26.97B","Technology","Industrial Machinery/Components"
"3288","LAMR","Lamar Advertising Company","78.8","$7.84B","Consumer Services","Real Estate Investment Trusts"
"3289","LANC","Lancaster Colony Corporation","156.95","$4.32B","Consumer Non-Durables","Packaged Foods"
"3290","LNDC","Landec Corporation","12.97","$378.34M","Consumer Non-Durables","Packaged Foods"
"3291","LARK","Landmark Bancorp Inc.","24.5","$107.12M","Finance","Major Banks"
"3292","LMRK","Landmark Infrastructure Partners LP","14.09","$357.02M","Consumer Services","Real Estate"
"3293","LE","Lands&#39; End, Inc.","18.23","$587.22M","Consumer Services","Clothing/Shoe/Accessory Stores"
"3294","LSTR","Landstar System, Inc.","109.31","$4.39B","Transportation","Trucking Freight/Courier Services"
"3295","LNTH","Lantheus Holdings, Inc.","23.75","$915.51M","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"3296","LTRX","Lantronix, Inc.","2.39","$53.09M","Technology","Computer Communications Equipment"
"3297","LSCC","Lattice Semiconductor Corporation","12.45","$1.61B","Technology","Semiconductors"
"3298","LAUR","Laureate Education, Inc.","15.3","$3.43B","Consumer Services","Other Consumer Services"
"3299","LAWS","Lawson Products, Inc.","30.67","$273.57M","Consumer Durables","Industrial Specialties"
"3300","LAZY","Lazydays Holdings, Inc.","5.94","$50.32M","Consumer Durables","Automotive Aftermarket"
"3301","LCNB","LCNB Corporation","17.19","$228.55M","Finance","Major Banks"
"3302","LPTX","LEAP THERAPEUTICS, INC.","1.51","$33.61M","Health Care","Major Pharmaceuticals"
"3303","LEGH","Legacy Housing Corporation","14.02","$336.48M","Basic Industries","Homebuilding"
"3304","LGCY","Legacy Reserves Inc.","1.16","$129.3M","Energy","Oil & Gas Production"
"3305","LTXB","LegacyTexas Financial Group, Inc.","41.74","$2.03B","Finance","Savings Institutions"
"3306","LACQ","Leisure Acquisition Corp.","9.94","$248.5M","Finance","Business Services"
"3307","LMAT","LeMaitre Vascular, Inc.","30.63","$599.8M","Health Care","Medical/Dental Instruments"
"3308","TREE","LendingTree, Inc.","322.6","$4.14B","Finance","Finance: Consumer Services"
"3309","LEVL","Level One Bancorp, Inc.","23.68","$183.53M","Finance","Major Banks"
"3310","LXRX","Lexicon Pharmaceuticals, Inc.","6.81","$721.35M","Health Care","Major Pharmaceuticals"
"3311","LX","LexinFintech Holdings Ltd.","12.15","$1.99B","Finance","Finance: Consumer Services"
"3312","LFAC","LF Capital Acquistion Corp.","9.97","$193.48M","Finance","Business Services"
"3313","LGIH","LGI Homes, Inc.","58.43","$1.33B","Capital Goods","Homebuilding"
"3314","LHCG","LHC Group","109.43","$3.43B","Health Care","Medical/Nursing Services"
"3315","LLIT","Lianluo Smart Limited","1.37","$24.12M","Health Care","Medical/Dental Instruments"
"3316","LBRDA","Liberty Broadband Corporation","89.75","$16.28B","Consumer Services","Television Services"
"3317","LEXEA","Liberty Expedia Holdings, Inc.","45.13","$2.59B","Consumer Services","Other Consumer Services"
"3318","LBTYA","Liberty Global plc","26.22","$19.77B","Consumer Services","Television Services"
"3319","LILA","Liberty Latin America Ltd.","20.22","$3.66B","Consumer Services","Television Services"
"3320","BATRK","Liberty Media Corporation","28.28","$1.44B","Consumer Services","Broadcasting"
"3321","LTRPA","Liberty TripAdvisor Holdings, Inc.","14.94","$1.12B","Technology","EDP Services"
"3322","LCUT","Lifetime Brands, Inc.","10.46","$217.17M","Capital Goods","Industrial Machinery/Components"
"3323","LFVN","Lifevantage Corporation","14.76","$210.83M","Health Care","Major Pharmaceuticals"
"3324","LWAY","Lifeway Foods, Inc.","2.39","$37.85M","Consumer Non-Durables","Packaged Foods"
"3325","LGND","Ligand Pharmaceuticals Incorporated","126.34","$2.69B","Health Care","Major Pharmaceuticals"
"3326","LTBR","Lightbridge Corporation","0.6132","$19.12M","Consumer Services","Professional Services"
"3327","LPTH","LightPath Technologies, Inc.","1.7001","$43.88M","Technology","Semiconductors"
"3328","LLEX","Lilis Energy, Inc.","1.85","$133.14M","Energy","Oil & Gas Production"
"3329","LMB","Limbach Holdings, Inc.","5.38","$40.84M","Basic Industries","Engineering & Construction"
"3330","LLNW","Limelight Networks, Inc.","2.93","$334.74M","Miscellaneous","Business Services"
"3331","LMST","Limestone Bancorp, Inc.","15.09","$131.02M","Finance","Major Banks"
"3332","LMNR","Limoneira Co","23.51","$417.93M","Consumer Non-Durables","Farming/Seeds/Milling"
"3333","LINC","Lincoln Educational Services Corporation","3.14","$77.38M","Consumer Services","Other Consumer Services"
"3334","LECO","Lincoln Electric Holdings, Inc.","86.69","$5.59B","Technology","Industrial Machinery/Components"
"3335","LIND","Lindblad Expeditions Holdings Inc. ","14.09","$645.54M","Consumer Services","Transportation Services"
"3336","LPCN","Lipocine Inc.","1.78","$38.21M","Health Care","Major Pharmaceuticals"
"3337","YVR","Liquid Media Group Ltd.","2.56","$10.23M","Consumer Non-Durables","Beverages (Production/Distribution)"
"3338","LQDA","Liquidia Technologies, Inc.","20.01","$309.72M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3339","LQDT","Liquidity Services, Inc.","6.75","$224.82M","Miscellaneous","Business Services"
"3340","LFUS","Littelfuse, Inc.","192.37","$4.84B","Consumer Durables","Electrical Products"
"3341","LIVN","LivaNova PLC","96.02","$4.67B","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"3342","LOB","Live Oak Bancshares, Inc.","16.26","$652.79M","Finance","Major Banks"
"3343","LIVE","Live Ventures Incorporated","7.9381","$15.42M","Finance","Finance/Investors Services"
"3344","LPSN","LivePerson, Inc.","28.35","$1.8B","Technology","Computer Software: Prepackaged Software"
"3345","LIVX","LiveXLive Media, Inc.","5.99","$312.04M","Consumer Services","Restaurants"
"3346","LKQ","LKQ Corporation","27.82","$8.85B","Consumer Services","Motor Vehicles"
"3347","LMFA","LM Funding America, Inc.","1.45","$3.34M","Finance","Finance: Consumer Services"
"3348","LOGC","LogicBio Therapeutics, Inc.","9.61","$213.11M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3349","LOGI","Logitech International S.A.","37.98","$6.3B","Technology","Computer peripheral equipment"
"3350","LOGM","LogMein, Inc.","81.49","$4.14B","Technology","Computer Software: Prepackaged Software"
"3351","LONE","Lonestar Resources US Inc.","4.73","$116.53M","Energy","Oil & Gas Production"
"3352","LOAC","Longevity Acquisition Corporation","9.97","$52.54M","Finance","Business Services"
"3353","LOOP","Loop Industries, Inc.","9.7916","$331.01M","Basic Industries","Major Chemicals"
"3354","LORL","Loral Space and Communications, Inc.","40.85","$1.26B","Technology","Radio And Television Broadcasting And Communications Equipment"
"3355","LPLA","LPL Financial Holdings Inc.","76.7","$6.53B","Finance","Investment Bankers/Brokers/Service"
"3356","LRAD","LRAD Corporation","2.85","$92.95M","Consumer Non-Durables","Consumer Electronics/Appliances"
"3357","LYTS","LSI Industries Inc.","3.19","$82.59M","Consumer Durables","Building Products"
"3358","LULU","lululemon athletica inc.","151.38","$20.04B","Consumer Non-Durables","Apparel"
"3359","LITE","Lumentum Holdings Inc.","50.01","$3.81B","Consumer Durables","Telecommunications Equipment"
"3360","LMNX","Luminex Corporation","25.47","$1.14B","Health Care","Medical/Dental Instruments"
"3361","LUNA","Luna Innovations Incorporated","3.37","$94.15M","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"3362","LKCO","Luokung Technology Corp","8.26","$11.61M","Technology","EDP Services"
"3363","LBC","Luther Burbank Corporation","10.47","$590.29M","Finance","Major Banks"
"3364","MBTF","M B T Financial Corp","11.31","$260.42M","Finance","Major Banks"
"3365","MCBC","Macatawa Bank Corporation","10.98","$373.79M","Finance","Major Banks"
"3366","MFNC","Mackinac Financial Corporation","15.93","$170.65M","Finance","Major Banks"
"3367","MTSI","MACOM Technology Solutions Holdings, Inc.","19.53","$1.28B","Technology","Semiconductors"
"3368","MGNX","MacroGenics, Inc.","20.47","$865.04M","Health Care","Major Pharmaceuticals"
"3369","MDGL","Madrigal Pharmaceuticals, Inc.","140.59","$2.16B","Health Care","Major Pharmaceuticals"
